id,suggestion_id,vote_type,created_at
1304b448-ed86-4177-9af1-e185b9ad4380,583b77d0-049f-483f-b919-565e903ee357,up,2026-04-02 05:11:26.367546+00
15dcdca0-4c2b-4861-953c-e6e5fc6f4929,583b77d0-049f-483f-b919-565e903ee357,up,2026-03-31 03:37:17.46789+00
ae9bec03-13e8-4839-aad1-2bc577f3fc9c,583b77d0-049f-483f-b919-565e903ee357,up,2026-04-04 11:44:06.011826+00
b2b5ecb7-dfb1-4072-b9cc-aa3f3e14f76f,583b77d0-049f-483f-b919-565e903ee357,up,2026-04-03 08:13:59.167742+00
c1e4849d-e07c-4bc9-9caf-7555f2a81096,583b77d0-049f-483f-b919-565e903ee357,up,2026-03-31 03:37:08.82139+00
f5f80380-2906-4d21-abbc-f4f8b05ba999,583b77d0-049f-483f-b919-565e903ee357,up,2026-04-02 05:13:22.50613+00
