id,post_slug,selected_text,annotation_type,reaction_type,content,author_name,created_at,occurrence_index
47f340a0-8c75-43d0-ac95-d36a03a39f37,2026-04-06,Luka at El Jannah Newtown,comment,,give me el jannah please,Max Anderson,2026-04-06 02:53:15.630267+00,0
4efc1d49-61be-461b-955d-df601b004634,2026-03-31,I am a good boy,comment,,No I am the goodest of boys,Andy Xie,2026-04-04 11:44:27.002241+00,0
5b39754e-7a2b-4634-8e43-34342f37c58f,2026-03-27,Doomvibing,comment,,what is this? this term has not been introduced yet. please explain,,2026-03-29 02:52:41.999452+00,0
79716ba9-b329-4a58-8381-dc85b587388f,2026-03-27,friends,comment,,testing,,2026-03-27 22:49:46.219361+00,1
